"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy";"alive_spec"
0,25;1;"stable_fast";0;0;0;0,000194891524259234;63;56,125;0,595419847328244;8
0,25;1;"stable_fast";0;0;0;0,000195747839687447;64;54,625;0,580562659846547;8
0,25;1;"stable_fast";0;0;0;0,00020244954300289;65;53;0,586118251928021;8
0,25;1;"stable_fast";0;0;0;0,000343673383142142;66;52,625;0,569587628865979;8
0,25;1;"stable_fast";0;0;0;0,000198027553252118;67;53,625;0,58656330749354;8
0,25;1;"stable_fast";0;0;0;0,000269343903847194;68;51,875;0,575447570332481;8
0,25;1;"stable_fast";0;0;0;0,000257693692450858;69;51,625;0,58656330749354;8
0,25;1;"stable_fast";0;0;0;0,000324099974289697;70;50,625;0,576923076923077;8
0,25;1;"stable_fast";0;0;0;0,000468266641561786;71;48,625;0,55297157622739;8
0,25;1;"stable_fast";0;0;0;0,000427723861035437;72;48;0,552699228791774;8
0,25;1;"stable_fast";0;0;0;0,000384614686030607;73;46,625;0,553524804177546;8
0,25;1;"stable_fast";0;0;0;0,00025744054709231;74;45,625;0,548556430446194;8
0,25;1;"stable_fast";0;0;0;0,00049475837136105;75;44,5;0,564304461942257;8
0,25;1;"stable_fast";0;0;0;0,000128240247773236;76;44,5;0,557333333333333;8
0,25;1;"stable_fast";0;0;0;0,000273517995376539;77;43,625;0,557640750670241;8
0,25;1;"stable_fast";0;0;0;0,000277896391567822;78;42,75;0,550802139037433;8
0,25;1;"stable_fast";0;0;0;0,000288637422163003;79;41,5;0,553133514986376;8
0,25;1;"stable_fast";0;0;0;0,000208828836177955;80;38,5;0,560773480662983;8
0,25;1;"stable_fast";0;0;0;0,000344503912391018;81;38,75;0,544943820224719;8
0,25;1;"stable_fast";0;0;0;0,000277466504305662;82;37,625;0,573446327683616;8
0,25;1;"stable_fast";0;0;0;0,000279102693199892;83;38,875;0,570621468926554;8
0,25;1;"stable_fast";0;0;0;0,00100827170942235;84;28,875;0,43558282208589;8
0,25;1;"stable_fast";0;0;0;0,000928219697306069;85;27;0,44478527607362;8
0,25;1;"stable_fast";0;0;0;0,00022745223589752;86;28,625;0,447852760736196;8
0,25;1;"stable_fast";0;0;0;0,000503937060537458;87;29,875;0,427244582043344;8
0,25;1;"stable_fast";0;0;0;0,00048140428880072;88;34,375;0,416149068322981;8
