"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000844153841461859;99;2;1
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0,000665667583405138;97;4;1
0;0;0;0;0;0;0;0;0
0;1;0,17;0;0,17;0,000401677187415794;95;6;1
0;0;0;0;0;0;0;0;0
0;1;1;0;1;7,0434442332918e-05;93;8;8
0;0;0;0;0;0;0;0;0
0;1;0,9;0,1;0,8;7,01349321801832e-05;91;10;9
0;0;0;0;0;0;0;0;0
0;1;0,75;0,08;0,67;0,000137699798173064;89;12;9
0;0;0;0;0;0;0;0;0
0;1;0,71;0,07;0,64;0,000107962007239715;87;14;10
0;0;0;0;0;0;0;0;0
0;1;0,62;0,06;0,56;0,000223316458333524;85;16;10
0;0;0;0;0;0;0;0;0
0;1;0,56;0,11;0,45;0,000182198324621914;83;18;10
0;0;0;0;0;0;0;0;0
0;1;0,5;0,1;0,4;0,000134217793146887;81;20;10
0;0;0;0;0;0;0;0;0
0;1;0,55;0,09;0,46;9,74370462350031e-05;79;22;12
0;0;0;0;0;0;0;0;0
0;1;0,58;0,08;0,5;0,000143322593647789;77;24;14
0;0;0;0;0;0;0;0;0
0;1;0,54;0,08;0,46;7,44505864818806e-05;75;26;14
0;0;0;0;0;0;0;0;0
0;1;0,5;0,07;0,43;0,000143486964563321;73;28;14
0;0;0;0;0;0;0;0;0
0;1;0,5;0,07;0,43;0,000118638597261074;71;30;15
0;0;0;0;0;0;0;0;0
0;1;0,47;0,06;0,41;6,34997123168881e-05;69;32;15
0;0;0;0;0;0;0;0;0
0;1;0,44;0,06;0,38;9,65927474010215e-05;67;34;15
0;0;0;0;0;0;0;0;0
0;1;0,44;0,06;0,38;3,90572881812037e-05;65;36;16
0;0;0;0;0;0;0;0;0
0;1;0,45;0,05;0,4;8,88902394762961e-05;63;38;17
0;0;0;0;0;0;0;0;0
0;1;0,48;0,05;0,43;0,000159487541850771;61;40;19
0;0;0;0;0;0;0;0;0
0;1;0,48;0,07;0,41;6,08451646545275e-05;59;42;20
0;0;0;0;0;0;0;0;0
0;1;0,45;0,07;0,38;8,5720720205725e-05;57;44;20
0;0;0;0;0;0;0;0;0
0;1;0,43;0,07;0,36;7,52101565954592e-05;55;46;20
0;0;0;0;0;0;0;0;0
0;1;0,42;0,06;0,36;5,42332676380016e-05;53;48;20
0;0;0;0;0;0;0;0;0
0;1;0,4;0,06;0,34;9,29981059397792e-05;51;50;20
0;0;0;0;0;0;0;0;0
0;1;0,4;0,1;0,3;7,990364494047e-05;49;52;21
0;0;0;0;0;0;0;0;0
0;1;0,41;0,09;0,32;8,43932567846373e-05;47;54;22
0;0;0;0;0;0;0;0;0
0;1;0,45;0,09;0,36;0,000253153530204891;45;56;25
0;0;0;0;0;0;0;0;0
0;1;0,66;0,09;0,57;0,000116543807067841;43;58;38
0;0;0;0;0;0;0;0;0
0;1;0,63;0,08;0,55;0,000136671779500945;41;60;38
0;0;0;0;0;0;0;0;0
0;1;0,66;0,08;0,58;0,000117983051809236;39;62;41
0;0;0;0;0;0;0;0;0
0;1;0,66;0,09;0,57;0,000119499806127193;37;64;42
0;0;0;0;0;0;0;0;0
0;1;0,68;0,09;0,59;0,000146992100011147;35;66;45
0;0;0;0;0;0;0;0;0
0;1;0,66;0,09;0,57;0,000163549084573145;33;68;45
0;0;0;0;0;0;0;0;0
0;1;0,66;0,14;0,52;0,000125473101111717;31;70;46
0;0;0;0;0;0;0;0;0
0;1;0,68;0,14;0,54;0,000169776336055462;29;72;49
0;0;0;0;0;0;0;0;0
0;1;0,72;0,19;0,53;0,000114149978152729;27;74;53
0;0;0;0;0;0;0;0;0
0;1;0,79;0,2;0,59;9,00294958957665e-05;25;76;60
0;0;0;0;0;0;0;0;0
0;1;0,83;0,19;0,64;8,699966131265e-05;23;78;65
0;0;0;0;0;0;0;0;0
0;1;0,81;0,19;0,62;6,57721783068432e-05;21;80;65
0;0;0;0;0;0;0;0;0
0;1;0,79;0,18;0,61;6,41109148218605e-05;19;82;65
0;0;0;0;0;0;0;0;0
0;1;0,77;0,18;0,59;5,78272363649951e-05;17;84;65
0;0;0;0;0;0;0;0;0
0;1;0,77;0,17;0,6;6,13572363455868e-05;15;86;66
0;0;0;0;0;0;0;0;0
0;1;0,84;0,17;0,67;7,75392187364217e-05;13;88;74
0;0;0;0;0;0;0;0;0
0;1;0,84;0,17;0,67;7,47317461551419e-05;11;90;76
0;0;0;0;0;0;0;0;0
0;1;1,05;0,16;0,89;0,000109859918974906;9;92;97
0;0;0;0;0;0;0;0;0
0;1;1,05;0,16;0,89;9,29469233435302e-05;7;94;99
0;0;0;0;0;0;0;0;0
0;1;1,04;0,16;0,88;9,56139087626634e-05;5;96;100
0;0;0;0;0;0;0;0;0
0;1;1,04;0,15;0,89;7,70026939324949e-05;3;98;102
0;0;0;0;0;0;0;0;0
0;1;1,02;0,15;0,87;8,46149289876277e-05;1;100;102
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;0,000826356792710758;99;2;1
0;0;0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;0,000488291409004415;97;4;1
0;0;0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;7,29522820919759e-05;95;6;1
0;0;0;0;0;0;0;0;0
0,1;1;1;0;1;0,000276927600071596;93;8;8
0;0;0;0;0;0;0;0;0
0,1;1;0,8;0;0,8;0,000155119341474885;91;10;8
0;0;0;0;0;0;0;0;0
0,1;1;0,67;0;0,67;0,000155688321230387;89;12;8
0;0;0;0;0;0;0;0;0
0,1;1;0,64;0;0,64;0,00010667758617244;87;14;9
0;0;0;0;0;0;0;0;0
0,1;1;0,56;0;0,56;8,95046067083158e-05;85;16;9
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,06;0,44;0,000170198240777936;83;18;9
0;0;0;0;0;0;0;0;0
0,1;1;0,45;0,05;0,4;0,000125310994221514;81;20;9
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,05;0,45;0,000238679307250245;79;22;11
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,08;0,42;0,00018481915746752;77;24;12
0;0;0;0;0;0;0;0;0
0,1;1;0,46;0,08;0,38;9,5819333005781e-05;75;26;12
0;0;0;0;0;0;0;0;0
0,1;1;0,43;0,07;0,36;0,000109258210448807;73;28;12
0;0;0;0;0;0;0;0;0
0,1;1;0,4;0,07;0,33;9,96890821017782e-05;71;30;12
0;0;0;0;0;0;0;0;0
0,1;1;0,41;0,06;0,35;8,6704016854637e-05;69;32;13
0;0;0;0;0;0;0;0;0
0,1;1;0,38;0,06;0,32;5,44138454252582e-05;67;34;13
0;0;0;0;0;0;0;0;0
0,1;1;0,39;0,06;0,33;8,41814236833524e-05;65;36;14
0;0;0;0;0;0;0;0;0
0,1;1;0,39;0,05;0,34;6,48692763845979e-05;63;38;15
0;0;0;0;0;0;0;0;0
0,1;1;0,4;0,05;0,35;6,95191886005163e-05;61;40;16
0;0;0;0;0;0;0;0;0
0,1;1;0,43;0,05;0,38;7,65155534130178e-05;59;42;18
0;0;0;0;0;0;0;0;0
0,1;1;0,41;0,05;0,36;0,000100661316774374;57;44;18
0;0;0;0;0;0;0;0;0
0,1;1;0,39;0,04;0,35;0,000148953590210976;55;46;18
0;0;0;0;0;0;0;0;0
0,1;1;0,4;0,04;0,36;7,36391911406976e-05;53;48;19
0;0;0;0;0;0;0;0;0
0,1;1;0,38;0,04;0,34;8,3087482624894e-05;51;50;19
0;0;0;0;0;0;0;0;0
0,1;1;0,38;0,1;0,28;0,000118805170708732;49;52;20
0;0;0;0;0;0;0;0;0
0,1;1;0,39;0,09;0,3;9,93539766800833e-05;47;54;21
0;0;0;0;0;0;0;0;0
0,1;1;0,39;0,09;0,3;0,000137279543589655;45;56;22
0;0;0;0;0;0;0;0;0
0,1;1;0,62;0,09;0,53;0,000130982159490886;43;58;36
0;0;0;0;0;0;0;0;0
0,1;1;0,63;0,08;0,55;0,000140278202743446;41;60;38
0;0;0;0;0;0;0;0;0
0,1;1;0,63;0,08;0,55;0,000122122757261736;39;62;39
0;0;0;0;0;0;0;0;0
0,1;1;0,61;0,08;0,53;0,000129901769561627;37;64;39
0;0;0;0;0;0;0;0;0
0,1;1;0,65;0,08;0,57;0,000176271403154033;35;66;43
0;0;0;0;0;0;0;0;0
0,1;1;0,63;0,09;0,54;0,000165350421737993;33;68;43
0;0;0;0;0;0;0;0;0
0,1;1;0,61;0,14;0,47;0,000156238127138914;31;70;43
0;0;0;0;0;0;0;0;0
0,1;1;0,65;0,14;0,51;0,000142191663763306;29;72;47
0;0;0;0;0;0;0;0;0
0,1;1;0,66;0,18;0,48;0,000208028587790631;27;74;49
0;0;0;0;0;0;0;0;0
0,1;1;0,74;0,17;0,57;0,000104477896999651;25;76;56
0;0;0;0;0;0;0;0;0
0,1;1;0,77;0,17;0,6;9,61036134425791e-05;23;78;60
0;0;0;0;0;0;0;0;0
0,1;1;0,76;0,16;0,6;9,51856738942589e-05;21;80;61
0;0;0;0;0;0;0;0;0
0,1;1;0,74;0,16;0,58;7,33297458571624e-05;19;82;61
0;0;0;0;0;0;0;0;0
0,1;1;0,73;0,15;0,58;5,37577164983309e-05;17;84;61
0;0;0;0;0;0;0;0;0
0,1;1;0,71;0,15;0,56;5,03199599894092e-05;15;86;61
0;0;0;0;0;0;0;0;0
0,1;1;0,76;0,15;0,61;6,0986775500702e-05;13;88;67
0;0;0;0;0;0;0;0;0
0,1;1;0,78;0,14;0,64;7,28457535788058e-05;11;90;70
0;0;0;0;0;0;0;0;0
