"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,00134638303694673;99;2;1
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0,000874771453760248;97;4;1
0;0;0;0;0;0;0;0;0
0;1;0,17;0;0,17;0,00108925348667871;95;6;1
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000230824838546501;93;8;4
0;0;0;0;0;0;0;0;0
0;1;0,6;0;0,6;0,000624442218212881;91;10;6
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000271389225968033;89;12;6
0;0;0;0;0;0;0;0;0
0;1;0,5;0,14;0,36;0,000116239498275383;87;14;7
0;0;0;0;0;0;0;0;0
0;1;0,5;0,12;0,38;0,00017150471620957;85;16;8
0;0;0;0;0;0;0;0;0
0;1;0,5;0,11;0,39;0,000247368649865615;83;18;9
0;0;0;0;0;0;0;0;0
0;1;0,5;0,1;0,4;0,000237008256938363;81;20;10
0;0;0;0;0;0;0;0;0
0;1;0,45;0,09;0,36;0,000129010608043961;79;22;10
0;0;0;0;0;0;0;0;0
0;1;0,5;0,08;0,42;9,67859259680737e-05;77;24;12
0;0;0;0;0;0;0;0;0
0;1;0,58;0,08;0,5;0,000125851901343591;75;26;15
0;0;0;0;0;0;0;0;0
0;1;0,61;0,07;0,54;0,000162653909606688;73;28;17
0;0;0;0;0;0;0;0;0
0;1;0,67;0,07;0,6;0,000155404892073888;71;30;20
0;0;0;0;0;0;0;0;0
0;1;0,75;0,09;0,66;0,000169901958533625;69;32;24
0;0;0;0;0;0;0;0;0
0;1;0,85;0,09;0,76;0,000171334739833944;67;34;29
0;0;0;0;0;0;0;0;0
0;1;0,92;0,08;0,84;0,000124880025787991;65;36;33
0;0;0;0;0;0;0;0;0
0;1;0,97;0,08;0,89;0,000124787335580383;63;38;37
0;0;0;0;0;0;0;0;0
0;1;1,02;0,07;0,95;0,000132819303481503;61;40;41
0;0;0;0;0;0;0;0;0
0;1;1,19;0,07;1,12;0,000138379707991672;59;42;50
0;0;0;0;0;0;0;0;0
0;1;1,45;0,14;1,31;0,000143707268875042;57;44;64
0;0;0;0;0;0;0;0;0
0;1;1,76;0,13;1,63;0,000171354809695586;55;46;81
0;0;0;0;0;0;0;0;0
0;1;2,08;0,15;1,93;0,000133697201546949;53;48;100
0;0;0;0;0;0;0;0;0
0;1;2,46;0,16;2,3;0,000162230883163551;51;50;123
0;0;0;0;0;0;0;0;0
0;1;2,81;0,17;2,64;0,000135213338362862;49;52;146
0;0;0;0;0;0;0;0;0
0;1;3,04;0,17;2,87;0,000135714546283887;47;54;164
0;0;0;0;0;0;0;0;0
0;1;4;0,2;3,8;0,000162067968838201;45;56;224
0;0;0;0;0;0;0;0;0
0;1;4,83;0,34;4,49;0,000180054405999565;43;58;280
0;0;0;0;0;0;0;0;0
0;1;5,4;0,37;5,03;0,000169203128032721;41;60;324
0;0;0;0;0;0;0;0;0
0;1;5,48;0,74;4,74;0,000169611276706055;39;62;340
0;0;0;0;0;0;0;0;0
0;1;5,48;0,77;4,71;0,00019112525089416;37;64;351
0;0;0;0;0;0;0;0;0
0;1;5,82;0,76;5,06;0,000146689717614061;35;66;384
0;0;0;0;0;0;0;0;0
0;1;7,32;0,84;6,48;0,000185988892763542;33;68;498
0;0;0;0;0;0;0;0;0
0;1;8,36;0,94;7,42;0,000178248181732892;31;70;585
0;0;0;0;0;0;0;0;0
0;1;9,51;1,03;8,48;0,000202270682670748;29;72;685
0;0;0;0;0;0;0;0;0
0;1;10,78;1,09;9,69;0,000148625030316163;27;74;798
0;0;0;0;0;0;0;0;0
0;1;12,04;1,16;10,88;0,000177245741372185;25;76;915
0;0;0;0;0;0;0;0;0
0;1;12,67;1,44;11,23;0,000140860712246661;23;78;988
0;0;0;0;0;0;0;0;0
0;1;13,6;1,44;12,16;0,000133945109349728;21;80;1088
0;0;0;0;0;0;0;0;0
0;1;15,71;1,43;14,28;0,000128869982531348;19;82;1288
0;0;0;0;0;0;0;0;0
0;1;20,15;1,51;18,64;0,000140767017115274;17;84;1693
0;0;0;0;0;0;0;0;0
0;1;24,31;1,79;22,52;0,000154748545529948;15;86;2091
0;0;0;0;0;0;0;0;0
0;1;28,19;1,86;26,33;0,000130781856288888;13;88;2481
0;0;0;0;0;0;0;0;0
0;1;30,86;2,17;28,69;0,000126097518472028;11;90;2777
0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;0,00108203645159088;99;2;1
0;0;0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;3,37223793567265e-05;97;4;1
0;0;0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;0,000711905604767749;95;6;1
0;0;0;0;0;0;0;0;0
0,1;1;0,75;0;0,75;0,000156318390410429;93;8;6
0;0;0;0;0;0;0;0;0
0,1;1;0,7;0,1;0,6;0,0001601739030341;91;10;7
0;0;0;0;0;0;0;0;0
