"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000181951679865233;99;2;1
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;9,32801493623847e-05;97;4;1
0;0;0;0;0;0;0;0;0
0;1;0,17;0;0,17;5,78614581198122e-06;95;6;1
0;0;0;0;0;0;0;0;0
0;1;1,12;0;1,12;0,000162866865032196;93;8;9
0;0;0;0;0;0;0;0;0
0;1;1;0,1;0,9;0,000211671696011745;91;10;10
0;0;0;0;0;0;0;0;0
0;1;0,83;0,08;0,75;0,000121382261838702;89;12;10
0;0;0;0;0;0;0;0;0
0;1;0,79;0,07;0,72;0,000155052397065875;87;14;11
0;0;0;0;0;0;0;0;0
0;1;0,69;0,06;0,63;0,000149225114010165;85;16;11
0;0;0;0;0;0;0;0;0
0;1;0,61;0,11;0,5;0,000113094722975912;83;18;11
0;0;0;0;0;0;0;0;0
0;1;0,55;0,1;0,45;8,06397037943311e-05;81;20;11
0;0;0;0;0;0;0;0;0
0;1;0,59;0,09;0,5;0,000211577370297417;79;22;13
0;0;0;0;0;0;0;0;0
0;1;0,62;0,12;0,5;9,61219822865294e-05;77;24;15
0;0;0;0;0;0;0;0;0
0;1;0,62;0,12;0,5;9,39864607541937e-05;75;26;16
0;0;0;0;0;0;0;0;0
0;1;0,57;0,11;0,46;7,31234611149665e-05;73;28;16
0;0;0;0;0;0;0;0;0
0;1;0,53;0,1;0,43;0,000110446909758281;71;30;16
0;0;0;0;0;0;0;0;0
0;1;0,5;0,09;0,41;8,55400682848301e-05;69;32;16
0;0;0;0;0;0;0;0;0
0;1;0,47;0,09;0,38;0,000107027618596241;67;34;16
0;0;0;0;0;0;0;0;0
0;1;0,47;0,08;0,39;5,68862981255794e-05;65;36;17
0;0;0;0;0;0;0;0;0
0;1;0,45;0,08;0,37;7,9277167051298e-05;63;38;17
0;0;0;0;0;0;0;0;0
0;1;0,52;0,07;0,45;7,64202590157227e-05;61;40;21
0;0;0;0;0;0;0;0;0
0;1;0,55;0,07;0,48;5,33937520037192e-05;59;42;23
0;0;0;0;0;0;0;0;0
0;1;0,52;0,07;0,45;9,59311989779055e-05;57;44;23
0;0;0;0;0;0;0;0;0
0;1;0,52;0,07;0,45;6,96598738482407e-05;55;46;24
0;0;0;0;0;0;0;0;0
0;1;0,5;0,06;0,44;7,33550191113129e-05;53;48;24
0;0;0;0;0;0;0;0;0
0;1;0,48;0,06;0,42;6,91373334523261e-05;51;50;24
0;0;0;0;0;0;0;0;0
0;1;0,46;0,08;0,38;6,92737430433216e-05;49;52;24
0;0;0;0;0;0;0;0;0
0;1;0,44;0,07;0,37;8,17064449446542e-05;47;54;24
0;0;0;0;0;0;0;0;0
0;1;0,45;0,07;0,38;5,58927003528525e-05;45;56;25
0;0;0;0;0;0;0;0;0
0;1;0,91;0,07;0,84;0,000145197769886739;43;58;53
0;0;0;0;0;0;0;0;0
0;1;0,88;0,07;0,81;0,000120537863649391;41;60;53
0;0;0;0;0;0;0;0;0
0;1;0,89;0,06;0,83;0,000101565117007341;39;62;55
0;0;0;0;0;0;0;0;0
0;1;0,88;0,06;0,82;0,000133302623733261;37;64;56
0;0;0;0;0;0;0;0;0
0;1;0,97;0,06;0,91;0,000163121028554381;35;66;64
0;0;0;0;0;0;0;0;0
0;1;0,94;0,06;0,88;0,00020172310464845;33;68;64
0;0;0;0;0;0;0;0;0
0;1;0,94;0,17;0,77;0,000123920830010782;31;70;66
0;0;0;0;0;0;0;0;0
0;1;1,1;0,17;0,93;0,000157993189104273;29;72;79
0;0;0;0;0;0;0;0;0
0;1;1,15;0,24;0,91;0,000158210857489743;27;74;85
0;0;0;0;0;0;0;0;0
0;1;1,17;0,24;0,93;0,00010872385023807;25;76;89
0;0;0;0;0;0;0;0;0
0;1;1,19;0,23;0,96;9,10274124624773e-05;23;78;93
0;0;0;0;0;0;0;0;0
0;1;1,18;0,22;0,96;8,23532978780423e-05;21;80;94
0;0;0;0;0;0;0;0;0
0;1;1,15;0,22;0,93;6,39038509860905e-05;19;82;94
0;0;0;0;0;0;0;0;0
0;1;1,12;0,21;0,91;6,56544860869577e-05;17;84;94
0;0;0;0;0;0;0;0;0
0;1;1,1;0,21;0,89;5,26936649738039e-05;15;86;95
0;0;0;0;0;0;0;0;0
0;1;1,22;0,2;1,02;7,1071569627069e-05;13;88;107
0;0;0;0;0;0;0;0;0
0;1;1,24;0,2;1,04;7,45521854168112e-05;11;90;112
0;0;0;0;0;0;0;0;0
0;1;1,73;0,2;1,53;0,000136274456731398;9;92;159
0;0;0;0;0;0;0;0;0
0;1;1,69;0,19;1,5;8,5109849063889e-05;7;94;159
0;0;0;0;0;0;0;0;0
0;1;1,67;0,19;1,48;6,26085654884341e-05;5;96;160
0;0;0;0;0;0;0;0;0
0;1;1,65;0,18;1,47;7,21431510896766e-05;3;98;162
0;0;0;0;0;0;0;0;0
0;1;1,62;0,18;1,44;7,5398718407405e-05;1;100;162
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;0,000185616831550883;99;2;1
0;0;0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;3,02439865595971e-05;97;4;1
0;0;0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;3,74958142251858e-06;95;6;1
0;0;0;0;0;0;0;0;0
0,1;1;1,12;0;1,12;4,89351956836267e-05;93;8;9
0;0;0;0;0;0;0;0;0
0,1;1;1;0;1;0,000160445601238321;91;10;10
0;0;0;0;0;0;0;0;0
0,1;1;0,83;0;0,83;8,70855792387271e-05;89;12;10
0;0;0;0;0;0;0;0;0
0,1;1;0,79;0;0,79;0,000148377426623042;87;14;11
0;0;0;0;0;0;0;0;0
0,1;1;0,69;0;0,69;0,000123154364618239;85;16;11
0;0;0;0;0;0;0;0;0
0,1;1;0,61;0,06;0,55;0,000186032526157004;83;18;11
0;0;0;0;0;0;0;0;0
0,1;1;0,55;0,05;0,5;0,000133611422267382;81;20;11
0;0;0;0;0;0;0;0;0
0,1;1;0,55;0,05;0,5;0,000238852549313107;79;22;12
0;0;0;0;0;0;0;0;0
0,1;1;0,58;0,04;0,54;0,000158682310735574;77;24;14
0;0;0;0;0;0;0;0;0
0,1;1;0,58;0,04;0,54;8,90779070067746e-05;75;26;15
0;0;0;0;0;0;0;0;0
0,1;1;0,54;0,04;0,5;0,000124101261613215;73;28;15
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,03;0,47;0,000100157407692821;71;30;15
0;0;0;0;0;0;0;0;0
0,1;1;0,47;0,03;0,44;7,68156253990023e-05;69;32;15
0;0;0;0;0;0;0;0;0
0,1;1;0,47;0,03;0,44;3,19374417600469e-05;67;34;16
0;0;0;0;0;0;0;0;0
0,1;1;0,47;0,03;0,44;6,51819656878549e-05;65;36;17
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,03;0,47;9,06218788378063e-05;63;38;19
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0,03;0,47;0,000162981971296883;61;40;20
0;0;0;0;0;0;0;0;0
