"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,1;1;0,088;0,009;0,079;0,0023183240716606;931
0;0;0;0;0;0;0
0,1;1;0,104;0,009;0,095;0,0023183240716606;929
0;0;0;0;0;0;0
0,1;1;0,118;0,009;0,109;0,0023183240716606;927
0;0;0;0;0;0;0
0,1;1;0,123;0,01;0,113;0,0023183240716606;925
0;0;0;0;0;0;0
0,1;1;0,127;0,012;0,115;0,0023183240716606;923
0;0;0;0;0;0;0
0,1;1;0,133;0,012;0,121;0,0023183240716606;921
0;0;0;0;0;0;0
0,1;1;0,137;0,013;0,124;0,0023183240716606;919
0;0;0;0;0;0;0
0,1;1;0,148;0,019;0,129;0,0023183240716606;917
0;0;0;0;0;0;0
0,1;1;0,158;0,023;0,135;0,0023183240716606;915
0;0;0;0;0;0;0
0,1;1;0,162;0,025;0,137;0,0023183240716606;913
0;0;0;0;0;0;0
0,1;1;0,259;0,028;0,231;0,0023183240716606;911
0;0;0;0;0;0;0
0,1;1;0,274;0,032;0,242;0,0023183240716606;909
0;0;0;0;0;0;0
0,1;1;0,31;0,033;0,277;0,0023183240716606;907
0;0;0;0;0;0;0
0,1;1;0,312;0,034;0,278;0,0023183240716606;905
0;0;0;0;0;0;0
0,1;1;0,316;0,034;0,282;0,0023183240716606;903
0;0;0;0;0;0;0
0,1;1;0,321;0,036;0,285;0,0023183240716606;901
0;0;0;0;0;0;0
0,1;1;0,342;0,039;0,303;0,0023183240716606;899
0;0;0;0;0;0;0
0,1;1;0,374;0,041;0,333;0,0023183240716606;897
0;0;0;0;0;0;0
0,1;1;0,4;0,045;0,355;0,0023183240716606;895
0;0;0;0;0;0;0
0,1;1;0,417;0,055;0,362;0,0023183240716606;893
0;0;0;0;0;0;0
0,1;1;0,451;0,058;0,393;0,0023183240716606;891
0;0;0;0;0;0;0
0,1;1;0,453;0,06;0,393;0,0023183240716606;889
0;0;0;0;0;0;0
0,1;1;0,456;0,06;0,396;0,0023183240716606;887
0;0;0;0;0;0;0
0,1;1;0,458;0,061;0,397;0,0023183240716606;885
0;0;0;0;0;0;0
0,1;1;0,467;0,061;0,406;0,0023183240716606;883
0;0;0;0;0;0;0
0,1;1;0,488;0,061;0,427;0,0023183240716606;881
0;0;0;0;0;0;0
0,1;1;0,56;0,062;0,498;0,0023183240716606;879
0;0;0;0;0;0;0
0,1;1;0,592;0,064;0,528;0,0023183240716606;877
0;0;0;0;0;0;0
0,1;1;0,626;0,067;0,559;0,0023183240716606;875
0;0;0;0;0;0;0
0,1;1;0,65;0,072;0,578;0,0023183240716606;873
0;0;0;0;0;0;0
0,1;1;0,677;0,084;0,593;0,0023183240716606;871
0;0;0;0;0;0;0
0,1;1;0,704;0,091;0,613;0,0023183240716606;869
0;0;0;0;0;0;0
0,1;1;0,748;0,102;0,646;0,0023183240716606;867
0;0;0;0;0;0;0
0,1;1;0,783;0,196;0,587;0,0023183240716606;865
0;0;0;0;0;0;0
0,1;1;0,824;0,218;0,606;0,0023183240716606;863
0;0;0;0;0;0;0
0,1;1;0,887;0,238;0,649;0,0023183240716606;861
0;0;0;0;0;0;0
0,1;1;1;0,272;0,728;0,0023183240716606;859
0;0;0;0;0;0;0
0,1;1;1,086;0,295;0,791;0,0023183240716606;857
0;0;0;0;0;0;0
0,1;1;1,115;0,303;0,812;0,0023183240716606;855
0;0;0;0;0;0;0
0,1;1;1,156;0,31;0,846;0,0023183240716606;853
0;0;0;0;0;0;0
0,1;1;1,227;0,311;0,916;0,0023183240716606;851
0;0;0;0;0;0;0
0,1;1;1,357;0,327;1,03;0,0023183240716606;849
0;0;0;0;0;0;0
0,1;1;1,542;0,338;1,204;0,0023183240716606;847
0;0;0;0;0;0;0
0,1;1;1,71;0,342;1,368;0,0023183240716606;845
0;0;0;0;0;0;0
0,1;1;1,933;0,358;1,575;0,0023183240716606;843
0;0;0;0;0;0;0
0,1;1;2,137;0,368;1,769;0,0023183240716606;841
0;0;0;0;0;0;0
0,1;1;2,384;0,38;2,004;0,0023183240716606;839
0;0;0;0;0;0;0
0,1;1;2,658;0,385;2,273;0,0023183240716606;837
0;0;0;0;0;0;0
0,1;1;3,03;0,393;2,637;0,0023183240716606;835
0;0;0;0;0;0;0
0,1;1;3,518;0,399;3,119;0,0023183240716606;833
0;0;0;0;0;0;0
