"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0,8;1;0,69;0,03;0,66;9,88800667584818e-05;7;29
0;0;0;0;0;0;0;0
0,8;1;0,65;0,03;0,62;0,000105703366913909;5;31
0;0;0;0;0;0;0;0
0,8;1;0,61;0,03;0,58;0,000117177070717587;3;33
0;0;0;0;0;0;0;0
0,8;1;0,6;0,03;0,57;0,000128575345484283;1;35
0,9;1;1;0;1;0;35;1
0;0;0;0;0;0;0;0
0,9;1;0,33;0;0,33;0,000107720638862219;33;3
0;0;0;0;0;0;0;0
0,9;1;0,2;0;0,2;9,39774009732219e-05;31;5
0;0;0;0;0;0;0;0
0,9;1;1,43;0;1,43;0,0261300816367424;29;7
0;0;0;0;0;0;0;0
0,9;1;1,11;0,11;1;0,000119700985880273;27;9
0;0;0;0;0;0;0;0
0,9;1;1;0,09;0,91;0,000207952411031281;25;11
0;0;0;0;0;0;0;0
0,9;1;0,85;0,08;0,77;8,12075432256698e-05;23;13
0;0;0;0;0;0;0;0
0,9;1;0,8;0,07;0,73;0,000139629696386156;21;15
0;0;0;0;0;0;0;0
0,9;1;0,71;0,06;0,65;0,000161799812397541;19;17
0;0;0;0;0;0;0;0
0,9;1;0,63;0,05;0,58;0,000128650167679918;17;19
0;0;0;0;0;0;0;0
0,9;1;0,62;0,05;0,57;6,45677042761759e-05;15;21
0;0;0;0;0;0;0;0
0,9;1;0,65;0,04;0,61;0,000117599324693087;13;23
0;0;0;0;0;0;0;0
0,9;1;0,64;0,04;0,6;0,000103334568415581;11;25
0;0;0;0;0;0;0;0
0,9;1;0,7;0,04;0,66;0,00012782594407608;9;27
0;0;0;0;0;0;0;0
0,9;1;0,69;0,03;0,66;9,96778857701675e-05;7;29
0;0;0;0;0;0;0;0
0,9;1;0,65;0,03;0,62;0,00010548302130366;5;31
0;0;0;0;0;0;0;0
0,9;1;0,61;0,03;0,58;0,000116845496790775;3;33
0;0;0;0;0;0;0;0
0,9;1;0,6;0,03;0,57;0,00012883573028018;1;35
1;1;1;0;1;0;35;1
0;0;0;0;0;0;0;0
1;1;0,33;0;0,33;0,000107417399168364;33;3
0;0;0;0;0;0;0;0
1;1;0,2;0;0,2;9,40517708168942e-05;31;5
0;0;0;0;0;0;0;0
1;1;1,43;0;1,43;0,0261291587724826;29;7
0;0;0;0;0;0;0;0
1;1;1,11;0,11;1;0,000119622161391146;27;9
0;0;0;0;0;0;0;0
1;1;1;0,09;0,91;0,000208090112277692;25;11
0;0;0;0;0;0;0;0
1;1;0,85;0,08;0,77;8,06010243333433e-05;23;13
0;0;0;0;0;0;0;0
1;1;0,8;0,07;0,73;0,000139737278092795;21;15
0;0;0;0;0;0;0;0
1;1;0,71;0,06;0,65;0,000161737090829152;19;17
0;0;0;0;0;0;0;0
1;1;0,63;0,05;0,58;0,000128529214433908;17;19
0;0;0;0;0;0;0;0
1;1;0,62;0,05;0,57;6,46016918783761e-05;15;21
0;0;0;0;0;0;0;0
1;1;0,65;0,04;0,61;0,000117654620382289;13;23
0;0;0;0;0;0;0;0
1;1;0,64;0,04;0,6;0,000103735707570422;11;25
0;0;0;0;0;0;0;0
1;1;0,7;0,04;0,66;0,00012773358275429;9;27
0;0;0;0;0;0;0;0
1;1;0,69;0,03;0,66;9,9910916049974e-05;7;29
0;0;0;0;0;0;0;0
1;1;0,65;0,03;0,62;0,000105412136394636;5;31
0;0;0;0;0;0;0;0
1;1;0,61;0,03;0,58;0,000116720856204148;3;33
0;0;0;0;0;0;0;0
1;1;0,6;0,03;0,57;0,000128826587644146;1;35
