"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,05;3;0,0714285714285714;0;0,0714285714285714;0,000450681787316521;42
0,05;3;0,0666666666666667;0;0,0666666666666667;0,000387498638259327;43
0,05;3;0;0;0;0,000291111265714235;44
0,05;3;0,0625;0;0,0625;0,000391706638646705;45
0,05;3;0,117647058823529;0;0,117647058823529;0,00037622826618428;46
0,05;3;0;0;0;0,000384780879654303;47
0,05;3;0,315789473684211;0;0,315789473684211;0,000605002683130926;48
0,05;3;0;0,04;-0,04;0,000390237234319818;49
0,05;3;0,0833333333333333;0;0,0833333333333333;0,000391078401018987;50
0,05;3;0;0,0384615384615385;-0,0384615384615385;0,000363944409168215;51
0,05;3;0,12;0;0,12;0,000362247701638874;52
0,05;3;0,0714285714285714;0;0,0714285714285714;0,000427663079825556;53
0,05;3;0,0333333333333333;0;0,0333333333333333;0,00043907752555868;54
0,05;3;0,032258064516129;0;0,032258064516129;0,000483438072460312;55
0,05;3;0,0625;0;0,0625;0,000403087707452977;56
0,05;3;0;0;0;0,000480995972260312;57
0,05;3;0,0294117647058824;0;0,0294117647058824;0,000358516884087347;58
0,05;3;0,0571428571428571;0;0,0571428571428571;0,000301701097716442;59
0,05;3;0,0540540540540541;0;0,0540540540540541;0,000374108493832747;60
0,05;3;0,0769230769230769;0;0,0769230769230769;0,000404972775356009;61
0,05;3;0;0;0;0,000397181901307021;62
0,05;3;0,0238095238095238;0;0,0238095238095238;0,000337228692386287;63
0,05;3;0,0465116279069767;0;0,0465116279069767;0,000344442226210805;64
0,05;3;0;0,0222222222222222;-0,0222222222222222;0,000391919175352825;65
0,05;3;0,113636363636364;0;0,113636363636364;0,000346279942089172;66
0,05;3;0,183673469387755;0;0,183673469387755;0,000536967178239948;67
0,05;3;0,0689655172413793;0,0344827586206897;0,0344827586206897;0,000598962037038242;68
0,05;3;0,1;0,0333333333333333;0,0666666666666667;0,000579570483287623;69
0,05;3;0,140625;0;0,140625;0,000507293607064262;70
0,05;3;0,0958904109589041;0,0136986301369863;0,0821917808219178;0,000590247351299291;71
0,05;3;0,0379746835443038;0,0506329113924051;-0,0126582278481013;0,0005158222197094;72
0,05;3;0,115384615384615;0;0,115384615384615;0,000379845273282452;73
0,05;3;0,0344827586206897;0;0,0344827586206897;0,000368886331513283;74
0,05;3;0,1;0;0,1;0,000403955101484082;75
0,05;3;0,111111111111111;0;0,111111111111111;0,000454691855036644;76
0,05;3;0,0818181818181818;0,00909090909090909;0,0727272727272727;0,000494155506461879;77
0,05;3;0,0423728813559322;0;0,0423728813559322;0,000422867446341688;78
0,05;3;0,040650406504065;0;0,040650406504065;0,000477195690046805;79
0,05;3;0,046875;0,015625;0,03125;0,000440939713748056;80
0,05;3;0,0757575757575758;0;0,0757575757575758;0,00042078460647078;81
0,05;3;0,0140845070422535;0;0,0140845070422535;0,000380494998803423;82
0,05;3;0,00694444444444444;0;0,00694444444444444;0,00036647133810273;83
0,05;3;0,0206896551724138;0;0,0206896551724138;0,000351714916830823;84
0,05;3;0,128378378378378;0;0,128378378378378;0,000390843429190309;85
0,05;3;0,0658682634730539;0;0,0658682634730539;0,000373859181484908;86
0,05;3;0,050561797752809;0,0168539325842697;0,0337078651685393;0,000426260595349663;87
0,05;3;0,0869565217391304;0,0108695652173913;0,0760869565217391;0,000399784866132119;88
0,05;3;0,0808080808080808;0,00505050505050505;0,0757575757575758;0,000427548897095143;89
0,05;3;0,0938967136150235;0;0,0938967136150235;0,000486249719539223;90
0,05;3;0,0600858369098712;0,0128755364806867;0,0472103004291845;0,000413435505748112;91
0,05;3;0,0655737704918033;0;0,0655737704918033;0,000435334155682907;92
0,05;3;0,05;0;0,05;0,000427234389284863;93
