"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
1;1;0,99;0,13;0,86;4,55156044839494e-06;233;68
0;0;0;0;0;0;0;0
1;1;1,07;0,14;0,93;4,34594381226259e-06;231;70
0;0;0;0;0;0;0;0
1;1;1,06;0,14;0,92;4,12900944882523e-06;229;72
0;0;0;0;0;0;0;0
1;1;1,16;0,14;1,02;3,90180715923791e-06;227;74
0;0;0;0;0;0;0;0
1;1;1,14;0,13;1,01;3,71876927612661e-06;225;76
0;0;0;0;0;0;0;0
1;1;1,13;0,14;0,99;3,51196493708127e-06;223;78
0;0;0;0;0;0;0;0
1;1;1,1;0,14;0,96;3,3209771015399e-06;221;80
0;0;0;0;0;0;0;0
1;1;1,07;0,13;0,94;3,17708450861058e-06;219;82
0;0;0;0;0;0;0;0
1;1;1,24;0,13;1,11;3,04196628507353e-06;217;84
0;0;0;0;0;0;0;0
1;1;1,35;0,13;1,22;2,93313543785572e-06;215;86
0;0;0;0;0;0;0;0
1;1;1,35;0,15;1,2;2,86438974196036e-06;213;88
0;0;0;0;0;0;0;0
1;1;1,36;0,17;1,19;2,79032258383327e-06;211;90
0;0;0;0;0;0;0;0
1;1;1,35;0,16;1,19;2,74898903433347e-06;209;92
0;0;0;0;0;0;0;0
1;1;1,36;0,19;1,17;2,66734684661485e-06;207;94
0;0;0;0;0;0;0;0
1;1;1,36;0,19;1,17;2,64040614085655e-06;205;96
0;0;0;0;0;0;0;0
1;1;1,39;0,29;1,1;2,65857310773036e-06;203;98
0;0;0;0;0;0;0;0
1;1;1,43;0,32;1,11;2,64055010093216e-06;201;100
0;0;0;0;0;0;0;0
1;1;1,42;0,33;1,09;2,61210860745334e-06;199;102
0;0;0;0;0;0;0;0
1;1;1,77;0,35;1,42;2,68958903099704e-06;197;104
0;0;0;0;0;0;0;0
1;1;1,85;0,37;1,48;2,72614807659912e-06;195;106
0;0;0;0;0;0;0;0
1;1;2,01;0,37;1,64;2,71114467643599e-06;193;108
0;0;0;0;0;0;0;0
1;1;1,98;0,36;1,62;2,64852485324613e-06;191;110
0;0;0;0;0;0;0;0
1;1;1,96;0,37;1,59;2,60162503425102e-06;189;112
0;0;0;0;0;0;0;0
1;1;1,95;0,36;1,59;2,55892402233389e-06;187;114
0;0;0;0;0;0;0;0
1;1;2,02;0,38;1,64;2,51745400273909e-06;185;116
0;0;0;0;0;0;0;0
1;1;2,08;0,37;1,71;2,46924167685865e-06;183;118
0;0;0;0;0;0;0;0
1;1;2,21;0,38;1,83;2,41584581766611e-06;181;120
0;0;0;0;0;0;0;0
1;1;2,27;0,39;1,88;2,36066612649954e-06;179;122
0;0;0;0;0;0;0;0
1;1;2,44;0,38;2,06;2,30349282646086e-06;177;124
0;0;0;0;0;0;0;0
1;1;2,51;0,37;2,14;2,2410814635093e-06;175;126
0;0;0;0;0;0;0;0
1;1;2,58;0,38;2,2;2,17572302315137e-06;173;128
0;0;0;0;0;0;0;0
1;1;2,69;0,38;2,31;2,1091948063539e-06;171;130
0;0;0;0;0;0;0;0
1;1;2,89;0,39;2,5;2,0504056415546e-06;169;132
0;0;0;0;0;0;0;0
1;1;3,08;0,4;2,68;1,99488955983406e-06;167;134
0;0;0;0;0;0;0;0
1;1;3,5;0,43;3,07;1,961204782108e-06;165;136
0;0;0;0;0;0;0;0
1;1;3,62;0,44;3,18;1,92889627582924e-06;163;138
0;0;0;0;0;0;0;0
1;1;3,81;0,49;3,32;1,89259155678528e-06;161;140
0;0;0;0;0;0;0;0
1;1;4,04;0,51;3,53;1,84690449110616e-06;159;142
0;0;0;0;0;0;0;0
1;1;4,45;0,54;3,91;1,82084653360202e-06;157;144
0;0;0;0;0;0;0;0
1;1;4,95;0,55;4,4;1,79411122479238e-06;155;146
0;0;0;0;0;0;0;0
1;1;5,89;0,59;5,3;1,78197381346697e-06;153;148
0;0;0;0;0;0;0;0
1;1;7,16;1,17;5,99;1,84222334306255e-06;151;150
0;0;0;0;0;0;0;0
1;1;7,68;1,39;6,29;1,85477263357828e-06;149;152
0;0;0;0;0;0;0;0
1;1;8,6;1,58;7,02;1,88263854670403e-06;147;154
0;0;0;0;0;0;0;0
1;1;9,76;1,89;7,87;1,92355419722389e-06;145;156
0;0;0;0;0;0;0;0
1;1;10,91;2,18;8,73;1,96441868372952e-06;143;158
0;0;0;0;0;0;0;0
1;1;11,71;2,62;9,09;2,00462238259173e-06;141;160
0;0;0;0;0;0;0;0
1;1;12,25;3,21;9,04;2,0494967688147e-06;139;162
0;0;0;0;0;0;0;0
1;1;12,66;4,02;8,64;2,07807071581782e-06;137;164
0;0;0;0;0;0;0;0
