"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,9;1;1,79;0,35;1,44;0,01;197
0;0;0;0;0;0;0
0,9;1;1,88;0,35;1,53;0,01;195
0;0;0;0;0;0;0
0,9;1;2,06;0,35;1,71;0,01;193
0;0;0;0;0;0;0
0,9;1;2,04;0,35;1,69;0,01;191
0;0;0;0;0;0;0
0,9;1;2,03;0,36;1,67;0,01;189
0;0;0;0;0;0;0
0,9;1;2;0,35;1,65;0,01;187
0;0;0;0;0;0;0
0,9;1;2,09;0,36;1,73;0,01;185
0;0;0;0;0;0;0
0,9;1;2,18;0,36;1,82;0,01;183
0;0;0;0;0;0;0
0,9;1;2,26;0,36;1,9;0,01;181
0;0;0;0;0;0;0
0,9;1;2,33;0,39;1,94;0,01;179
0;0;0;0;0;0;0
0,9;1;2,53;0,4;2,13;0,01;177
0;0;0;0;0;0;0
0,9;1;2,65;0,39;2,26;0,01;175
0;0;0;0;0;0;0
0,9;1;2,71;0,39;2,32;0;173
0;0;0;0;0;0;0
0,9;1;2,8;0,4;2,4;0;171
0;0;0;0;0;0;0
0,9;1;2,94;0,4;2,54;0;169
0;0;0;0;0;0;0
0,9;1;3,17;0,43;2,74;0;167
0;0;0;0;0;0;0
0,9;1;3,68;0,43;3,25;0;165
0;0;0;0;0;0;0
0,9;1;3,89;0,45;3,44;0;163
0;0;0;0;0;0;0
0,9;1;4,14;0,47;3,67;0;161
0;0;0;0;0;0;0
0,9;1;4,58;0,49;4,09;0;159
0;0;0;0;0;0;0
0,9;1;5,15;0,51;4,64;0;157
0;0;0;0;0;0;0
0,9;1;6,02;0,53;5,49;0;155
0;0;0;0;0;0;0
0,9;1;7,14;0,61;6,53;0;153
0;0;0;0;0;0;0
0,9;1;8,32;1,48;6,84;0;151
0;0;0;0;0;0;0
0,9;1;8,93;1,68;7,25;0;149
0;0;0;0;0;0;0
0,9;1;9,84;2,02;7,82;0;147
0;0;0;0;0;0;0
0,9;1;10,81;2,44;8,37;0;145
0;0;0;0;0;0;0
0,9;1;11,94;2,84;9,1;0;143
0;0;0;0;0;0;0
0,9;1;12,63;3,35;9,28;0;141
0;0;0;0;0;0;0
0,9;1;13,36;4,07;9,29;0;139
0;0;0;0;0;0;0
0,9;1;13,84;4,84;9;0;137
0;0;0;0;0;0;0
0,9;1;14,13;5,63;8,5;0;135
0;0;0;0;0;0;0
0,9;1;14,27;6,34;7,93;0;133
0;0;0;0;0;0;0
0,9;1;14,48;6,94;7,54;0;131
0;0;0;0;0;0;0
0,9;1;14,63;7,33;7,3;0;129
0;0;0;0;0;0;0
0,9;1;14,86;7,58;7,28;0;127
0;0;0;0;0;0;0
0,9;1;15,17;7,76;7,41;0;125
0;0;0;0;0;0;0
