"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy";"alive_spec"
0;1;"stable_fast";0;0;0;0;1;302;1;1
0;1;"stable_fast";0;0;0;0,00129892116485064;2;294;0,986577181208054;1
0;1;"stable_fast";0;0;0;6,43987804868426e-07;3;295;0,980066445182724;1
0;1;"stable_fast";0;0;0;0,000454421795798317;4;293;0,976666666666667;1
0;1;"stable_fast";0;0;0;0,000201884127111647;5;299;0,961414790996785;1
0;1;"stable_fast";0;0;0;2,21939538980865e-05;6;304;0,965079365079365;1
0;1;"stable_fast";0;0;0;0,00144040216857938;7;310;0,948012232415902;1
0;1;"stable_fast";0;0;0;0,000240322302574989;8;317;0,949101796407186;1
0;1;"stable_fast";0;0;0;0,000161319518084785;9;334;0,935574229691877;1
0;1;"stable_fast";0;0;0;8,63962667355608e-05;10;347;0,94550408719346;1
0;1;"stable_fast";9;0;9;0,0881022014906465;11;36,6;0,963060686015831;10
0;1;"stable_fast";0;0;0;0,000286016023325013;12;39,1;0,974554707379135;10
0;1;"stable_fast";0;0;0;0,000477682432983974;13;41,6;0,989769820971867;10
0;1;"stable_fast";0;0;0;0,000432550450917779;14;43,6;0,984575835475578;10
0;1;"stable_fast";0;0;0;0,000321646172096863;15;48,1;0,997422680412371;10
0;1;"stable_fast";0;0;0;0,000254139753289919;16;53;0,997416020671835;10
0;1;"stable_fast";0;0;0;0,00032266558055176;17;59,7;1;10
0;1;"stable_fast";0;0;0;0,000361691854551458;18;67,9;0,994832041343669;10
0;1;"stable_fast";0;0;0;0,000228642598635687;19;78,8;0,984615384615385;10
0;1;"stable_fast";0;0;0;0,000256946584465348;20;92,7;1;10
0;1;"stable_fast";0;0;0;0,000192514380653733;21;105;0,994858611825193;10
0;1;"stable_fast";0,1;0;0,1;0,000246436266202214;22;102,454545454545;1;11
0;1;"stable_fast";0;0;0;0,00031650997683994;23;110,636363636364;0,994750656167979;11
0;1;"stable_fast";0,0909090909090909;0;0,0909090909090909;0,000210200867681254;24;106,833333333333;0,986876640419947;12
0;1;"stable_fast";0,0833333333333333;0;0,0833333333333333;0,000367214307216993;25;103,307692307692;1;13
0;1;"stable_fast";0;0;0;0,000296117036869116;26;107,076923076923;0,997319034852547;13
