"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy"
0;10;"stable_low";0;0;0;0;1;302;1
0;10;"stable_low";0;0;0;0,000684717749094854;2;295;0,98993288590604
0;10;"stable_low";0;0;0;2,0356468470169e-05;3;295;0,980066445182724
0;10;"stable_low";0;0;0;0,000417837021072282;4;293;0,976666666666667
0;10;"stable_low";0;0;0;0,000359745321002266;5;298;0,958199356913183
0;10;"stable_low";0;0;0;0,000132534906958001;6;303;0,961904761904762
0;10;"stable_low";0;0;0;0,000918297888694281;7;310;0,948012232415902
0;10;"stable_low";0;0;0;0,000866577154069028;8;319;0,955089820359281
0;10;"stable_low";0;0;0;0,000161676146989949;9;335;0,938375350140056
0;10;"stable_low";0;0;0;0,000714713396101999;10;349;0,950953678474114
0;10;"stable_low";7;0;7;0,088654400964601;11;46,125;0,970976253298153
0;10;"stable_low";0;0;0;0,000353217109014339;12;49;0,974554707379135
0;10;"stable_low";0,125;0;0,125;0,00118965764208247;13;45,8888888888889;0,989769820971867
0;10;"stable_low";0;0;0;0,000206560735768831;14;48,6666666666667;0,994858611825193
0;10;"stable_low";0;0;0;0,000383665148188046;15;52,1111111111111;0,997422680412371
0;10;"stable_low";0;0;0;0,000414481759043176;16;55,5555555555556;0,992248062015504
0;10;"stable_low";0;0;0;0,000283962242021203;17;61,2222222222222;0,9923273657289
0;10;"stable_low";0;0;0;0,000201288552957325;18;67,5555555555556;0,997416020671835
0;10;"stable_low";0;0;0;0,00024265632937434;19;78,5555555555556;0,98974358974359
0;10;"stable_low";0;0;0;0,000302279305455305;20;88,7777777777778;0,994832041343669
0;10;"stable_low";0;0;0;0,000107956482285799;21;99;1
0;10;"stable_low";0,111111111111111;0;0,111111111111111;0,000229575478012741;22;94,5;0,994778067885117
0;10;"stable_low";0;0;0;0,000284150382288217;23;101,5;0,994750656167979
0;10;"stable_low";0,1;0;0,1;0,000204701783137921;24;98;0,992125984251969
0;10;"stable_low";0;0;0;0,000227639496048322;25;101,272727272727;0,994666666666667
0;10;"stable_low";0;0;0;0,000301882535277177;26;105,272727272727;1
0;10;"stable_low";0,272727272727273;0;0,272727272727273;0,000274034871228043;27;84,2857142857143;0,997326203208556
0;10;"stable_low";0;0;0;0,000588361866332697;28;84,3571428571429;0,997275204359673
0;10;"stable_low";0;0;0;0,000162360094646404;29;83,8571428571429;0,997237569060773
0;10;"stable_low";0;0;0;0,000302100831425179;30;83,0714285714286;0,991573033707865
0;10;"stable_low";0,0714285714285714;0;0,0714285714285714;0,000408270879146468;31;78,9333333333333;0,994350282485876
0;10;"stable_low";0;0;0;0,000193000620741368;32;82;0,997175141242938
0;10;"stable_low";0;0,2;-0,2;0,000544874985561559;33;71,5;0,797546012269939
0;10;"stable_low";0;0;0;0,000418972703546377;34;79,1666666666667;0,868098159509202
0;10;"stable_low";0;0;0;0,000255350553404271;35;88,4166666666667;0,929447852760736
0;10;"stable_low";0;0;0;0,000237507553999804;36;96;0,969040247678019
0;10;"stable_low";0;0;0;0,000242607814721548;37;104,25;0,975155279503106
0;10;"stable_low";0;0;0;0,000402092471400059;38;110,166666666667;0,971608832807571
0;10;"stable_low";0;0;0;0,000191062478970187;39;117,666666666667;0,968847352024922
0;10;"stable_low";0;0;0;0,00023360119772809;40;123,083333333333;0,965625
0;10;"stable_low";0;0;0;0,000355511361971238;41;124,5;0,961904761904762
